ESTACAO;UF;MUNICIPIO;NOME;SISTEMA_ORIGEM;ESTADO;DATA_ATIVACAO;DATA_ULTIMA_MODIF;LAT;LONG;ENDERE�O;GCN;SITES_INTERNOS;DESCRICAO_SITES_INTERNOS
CGD;RJ;RIO DE JANEIRO;CAMPO GRANDE;Netwin;Instalado;2014-04-05 20:53:01 UTC;2018-10-25 13:30:56 UTC;-229.068.237;-435.612.747;AVENIDA CESARIO DE MELO, 3040, CAMPO GRANDE, RIO DE JANEIRO - RJ 23050102;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;301, CGD04_COMUTACAO-AXE, CGD06_COMUTACAO-AXE, COMUNICACAO DE DADOS 1 ANDAR, Datacom, ELR III / CGD-3317/AXE/2 AND, ELR-II / CGD-3364 / AXE/ 1AND, EST/CGD/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, SALA GPON, TRANSMISSAO - 1 ANDAR, TRANSMISSÃƒO-TÃ‰RREO, ZTX-610 / 2419-0/6 / 2 ANDAR
CIN;RJ;RIO DE JANEIRO;CIDADE NOVA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2014-04-05 20:53:07 UTC;-229.110.525;-43.201.702;RUA CORREIA VASQUES, 69, CIDADE NOVA, RIO DE JANEIRO - RJ 20211140;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS, DG / 1 ANDAR, Datacom, ELR-III / ARC-2550 /AXE / 5AN, EST/CIN/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, SMP NOVA, TRANSMISSAO - 2 ANDAR, TRANSMISSAO - 5 ANDAR(520), TRANSMISSÃƒO - 5Âº AND, X - SALA DE TESTES, XX TESTE CX
COL;RJ;RIO DE JANEIRO;COLEGIO;Netwin;Instalado;2014-04-05 20:53:07 UTC;2024-12-16 20:04:23 UTC;-228.358.619;-433.306.188;ESTRADA DO COLEGIO, 860, COLEGIO, RIO DE JANEIRO - RJ 21235280 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, DG, Datacom, ELR-III / ARC-2550 / AXE/2AND, EST/COL/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, TRANSMISSAO - 2 ANDAR, TRANSMISSAO SL 206, TX / 2ÂºANDAR
COP;RJ;RIO DE JANEIRO;COPACABANA I;Netwin;Instalado;2014-04-05 20:53:07 UTC;2014-04-05 20:53:07 UTC;-229.696.758;-431.841.994;RUA SIQUEIRA CAMPOS, 37, COPACABANA, RIO DE JANEIRO - RJ 22031071;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNI. DE DADOS 2 AND. SL-01, COMUNI. DE DADOS 3 AND. SL-02, Datacom, EST/COP/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, TRANSMISSAO - 2 ANDAR, TRANSMISSAO - 3 ANDAR -SL 306
COS;RJ;RIO DE JANEIRO;COSMOS;Netwin;Instalado;2014-04-05 20:53:01 UTC;2014-04-05 20:53:01 UTC;-229.161.111;-436.130.556;RUA BORGES DA FONSECA, SN, COSMOS, RIO DE JANEIRO - RJ 23059370;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COS01_CX_TROPICO R, DG/TRANSMISSAO - 1 ANDAR, Datacom, ELR-I / CGD-3317/ AXE/ 1 AND, EST/COS/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge
CVI;RJ;RIO DE JANEIRO;CINEVIDEO;Netwin;Instalado;2013-01-21 00:00:00 UTC;2018-08-13 14:44:36 UTC;-229.746.556;-433.721.855;AVENIDA EMBAIXADOR ABELARDO BUENO, 3401 - ARENA 1 - CVI, JACAREPAGUA, RIO DE JANEIRO - RJ 22775023;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, DG, Datacom, EST/CVI/NI/NI, GPON / 1ÂºANDAR, MODEM OPTICO FICTICIO, Metro, Newbridge, Sala 1, TRANSMISSAO - 2 ANDAR, TROPICO RA - 2421 / 2 ANDAR
END;RJ;RIO DE JANEIRO;ENGENHO DE DENTRO I;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-10-31 19:59:19 UTC;-228.967.455;-43.292.859;RUA MONSENHOR JERONIMO, 146, ENGENHO DE DENTRO, RIO DE JANEIRO - RJ 20730110;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/END/NI/NI, GPON, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, TRANSMISSAO - 2 ANDAR (209), TX / 2ÂºANDAR
ENN;RJ;RIO DE JANEIRO;ENGENHO NOVO;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-01-31 10:47:42 UTC;-228.984.813;-432.637.881;RUA DOIS DE MAIO, 353, SAMPAIO, RIO DE JANEIRO - RJ 20961160;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;ANDAR - SL 318, Datacom, ENN01_COMUTACAO-TROPICO RA, EST/ENN/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, TRANSMISSAO- 1Â° ANDAR -127(AT), TRANSMISSAO- 2 ANDAR -214(AT), TRANSMISSAO- 3 ANDAR -318(AT), TX - PORTA 214, UBA
FLA;RJ;RIO DE JANEIRO;FLAMENGO;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-09-16 11:57:03 UTC;-22.929.736;-431.781.986;RUA DOIS DE DEZEMBRO, 107, FLAMENGO, RIO DE JANEIRO - RJ 22220040;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, COMUNICACAO DE DADOS 6 ANDAR, Datacom, ELR-III / BOT-2535 / AXE/2AND, EST/FLA/NI/NI, FLA01_COMUTACAO-TROPICO RA, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO, TRANSMISSAO - 2 ANDAR (204), TRANSMISSAO - 3 ANDAR (308), TRANSMISSÃƒO - 3Â°AND
FRE;RJ;RIO DE JANEIRO;FREGUESIA I;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-09-06 18:20:44 UTC;-229.500.957;-433.387.601;ESTRADA DE JACAREPAGUA, 6722, ANIL, RIO DE JANEIRO - RJ 22755145;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COM. DE DADOS 1 AND. PR. NOVO, Datacom, EST/FRE/NI/NI, FRE04_COMUTACAO-TROPICO RA, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 1 ANDAR, ZTX-610 / 2420 / 2 /  1 ANDAR
IPA;RJ;RIO DE JANEIRO;IPANEMA;Netwin;Instalado;2013-01-10 00:00:00 UTC;2018-03-21 19:32:19 UTC;-229.838.827;-431.965.481;RUA JANGADEIROS, 48, IPANEMA, RIO DE JANEIRO - RJ 22420010;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;5Âº ANDAR - SALA TX, COMUNICACAO DE DADOS 5 ANDAR, DTC 01, Datacom, EST/IPA/NI/NI, GPON / TÃ‰RREO, IPA02_COMUTACAO-TROPICO RA, MODEM OPTICO FICTICIO, Metro, Newbridge, OUTRA OPERADORA, RMS, Sala 1, TRANSMISSAO - 5 ANDAR, TRANSMISSÃƒO - 5Â°AND
IRJ;RJ;RIO DE JANEIRO;IRAJA I;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-07-22 10:55:19 UTC;-228.411.392;-433.119.478;RUA ENGENHEIRO LAFAIETE STOCKLER, 961, VILA DA PENHA, RIO DE JANEIRO - RJ 21221390;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, DG/TRANSMISSAO - 2 ANDAR 202, Datacom, EST/IRJ/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, TX
JAB;RJ;RIO DE JANEIRO;JABOUR;Netwin;Instalado;2014-04-05 20:53:07 UTC;2021-10-04 17:12:07 UTC;-228.828.809;-434.900.919;AVENIDA SANTA CRUZ, 7286, BANGU, RIO DE JANEIRO - RJ 21710231 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, DG/TRANSMISSAO - 2 ANDAR, Datacom, EST/JAB/NI/NI, JAB01_CX_TROPICO R, Metro, ZETAX-610 / 2419-94 / 2 ANDAR
JAC;RJ;RIO DE JANEIRO;JARDIM CARIOCA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2014-04-05 20:53:07 UTC;-228.009.123;-432.013.168;AVENIDA MAESTRO PAULO SILVA, 500, JARDIM CARIOCA, RIO DE JANEIRO - RJ 21920445;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, ELR-I / JAC-2465/ AXE/ 2ANDAR, EST/JAC/NI/NI, JAC04_COMUTACAO-AXE, MODEM OPTICO FICTICIO, Metro, Newbridge, RMS, TRANSMISSAO - 2 ANDAR, ZETAX-610-2470 /2ANDAR
JCP;RJ;RIO DE JANEIRO;JACAREPAGUA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2018-04-17 14:00:47 UTC;-229.282.938;-433.527.246;ESTRADA PAU FERRO, 67, PECHINCHA, RIO DE JANEIRO - RJ 22743050;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/JCP/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, SALA GPON, TRANSMISSAO - 2 ANDAR
LEB;RJ;RIO DE JANEIRO;LEBLON;Netwin;Instalado;2019-02-25 13:04:31 UTC;2022-11-24 17:29:21 UTC;-229.820.078;-432.193.222;RUA HUMBERTO DE CAMPOS, 425, LEBLON, RIO DE JANEIRO - RJ 22430190 ;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 6 ANDAR, Datacom, EBVT, ELR-I / ARC-2550 / AXE / 6AND, EST/LEB/NI/NI, GPON / TÃ‰RREO, MODEM OPTICO FICTICIO, Metro, Newbridge, RICD, RMS, Sala 1, TRANSMISSAO - 3Â° ANDAR, TRANSMISSÃƒO - 3Â°AND, ZETAX
MAR;RJ;RIO DE JANEIRO;MARACANA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-10-10 19:17:14 UTC;-229.145.164;-432.262.301;RUA GENERAL CANABARRO, 215, MARACANA, RIO DE JANEIRO - RJ 20271202;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP MAR_COMUTACAO_TROPICO, COMUNICACAO DE DADOS 3 ANDAR, Datacom, EST/MAR/NI/NI, HUAWEI - NGN / 2 ANDAR, MODEM OPTICO FICTICIO, Metro, Newbridge, RMAR1_COMUTACAO-TROPICO RA, RMS, SALA 217, TRANSMISSAO - 4 ANDAR(SL 412), TRANSMISSAO / 3 ANDAR, TRANSMISSAO3 ANDAR(SL308/324), TX, TX / 3Âº ANDAR, TX / TÃ‰RREO
MNC;RJ;RIO DE JANEIRO;NOVA EST MANANCIAIS - F038;Netwin;Instalado;2023-03-29 13:24:18 UTC;2023-04-14 18:44:40 UTC;-229.192.172;-434.064.895;ESTRADA DO RIO GRANDE, 4057, TAQUARA, RIO DE JANEIRO - RJ 22720010;Não;;
PGU;RJ;RIO DE JANEIRO;PEDRA DE GUARATIBA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2023-05-17 14:47:35 UTC;-229.883.848;-43.651.536;ESTRADA DA PEDRA, 1, SANTA CRUZ, RIO DE JANEIRO - RJ 23520241;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DG/TRANSMISSAO - TERREO, Datacom, ELR-I/CGD-    /AXE/1 ANDAR, EST/PGU/NI/NI, MODEM OPTICO FICTICIO, Metro, PGU01_COMUTACAO_TROPICO R, TRANSMISSAO - 1 ANDAR SL 2
PRA;RJ;RIO DE JANEIRO;PRAIA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2023-12-20 11:47:28 UTC;-229.410.962;-431.791.243;PRAIA BOTAFOGO, 166, BOTAFOGO, RIO DE JANEIRO - RJ 22250145 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;4Âº ANDAR -  DC 4o. Andar, ANDAR/PRA/TERREO/RD, ANDAR/PRA/TERREO/TX, COMUNICACAO DE DADOS 5 ANDAR, CPD, Datacom, EST/PRA/4Â°/CPD, EST/PRA/4Âº/CPD, EST/PRA/4Âº/DATACENTER, EST/PRA/NI/NI, MODEM OPTICO FICTICIO, Metro, NIU, NRI, Newbridge, RMS, TRANSMISSAO - 2 ANDAR, TRANSMISSÃƒO - TÃ‰RREO, TRANSMISSÃƒO-2Âº ANDAR
RAM;RJ;RIO DE JANEIRO;RAMOS;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-09-09 17:55:41 UTC;-228.533.784;-432.623.532;RUA URANOS, 1119, RAMOS, RIO DE JANEIRO - RJ 21060425;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;3ÂºANDAR / SL 306, COMUNICACAO DE DADOS 5 ANDAR, DG, Datacom, ELR-I / ARC-2550 / AXE /3 AND, ELR-III /RAM 2561/AXE /1ANDAR, ELR-IV /RAM 2230/AXE /5ANDAR, EST/RAM/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, RAM01_COMUTACAO-TROPICO RA, RAM02_COMUTACAO-AXE, RAM04_COMUTACAO-AXE, RICD, RMS, TRANSMISSAO - 3, ZTX-610 / RAM I / 3 ANDAR, ZTX-610 / RAM II / 3 ANDAR
RDB;RJ;RIO DE JANEIRO;RECREIO DOS BANDEIRANTES;Netwin;Instalado;2012-07-18 00:00:00 UTC;2019-07-21 11:59:20 UTC;-230.153.801;-434.651.212;RUA ALBERTO CAVALCANTI, 121, RECREIO BANDEIRANTES, RIO DE JANEIRO - RJ 22790850;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/RDB/NI/NI, GPON / TÃ‰RREO, IES, MODEM OPTICO FICTICIO, Metro, Newbridge, Sala 1, TRANSMISSAO TERREO, TX
SCD;RJ;RIO DE JANEIRO;SÃƒO CONRADO;Netwin;Instalado;2012-12-20 00:00:00 UTC;2018-05-11 16:38:11 UTC;-229.923.053;-432.533.088;ESTRADA DA GAVEA, 593, SAO CONRADO, RIO DE JANEIRO - RJ 22610001;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;DADOS, Datacom, EST/SCD/NI/NI, GPON / 3ÂºANDAR, MODEM OPTICO FICTICIO, Metro, Newbridge, Sala 1, TRANSMISSAO - 1 ANDAR, ZETAX / 2420 / 3 ANDAR
SCZ;RJ;RIO DE JANEIRO;SANTA CRUZ I;Netwin;Instalado;2014-04-05 20:53:01 UTC;2019-12-06 11:44:09 UTC;-229.177.778;-436.863.889;RUA ALVARO ALBERTO, 4671 LT01, SANTA CRUZ, RIO DE JANEIRO - RJ 23550000;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;1Âº ANDAR - TX, COMUNICACAO DE DADOS 1 ANDAR, DG/TRANSMISSAO - 1 ANDAR, Datacom, ELR-I / CGD-3364 / AXE / 1AND, ELR-II / CGD-3364 / AXE/ 1AND, ELR-III / CGD-3364 / AX /1AND, ELR-IV / CGD-3317 /AXE/3ANDAR, ELR-IX / CGD-3317 /AXE/3ANDAR, ELR-V / CGD-3317/AXE / 3ANDAR, ELR-VI / CGD-3317 / AXE/ 3AND, ELR-VII / CGD-3317 / AXE/3AND, ELR-VIII / CGD-3317 /AXE/3AND, EST/SCZ/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge
SPB;RJ;RIO DE JANEIRO;SEPETIBA I;Netwin;Instalado;2014-04-05 20:53:07 UTC;2023-05-12 15:04:29 UTC;-229.682.968;-437.065.475;ESTRADA DE SEPETIBA, 5975, SEPETIBA, RIO DE JANEIRO - RJ 23545003;Não;Sala, Sala, Sala, Sala, Sala, Sala;DG/TRANSMISSAO - TERREO, Datacom, EST/SPB/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge
SRT;RJ;RIO DE JANEIRO;SANTA RITA;Netwin;Instalado;2014-04-05 20:53:07 UTC;2018-09-17 18:28:15 UTC;-228.991.009;-431.808.641;RUA BENEDITINOS, 23, CENTRO, RIO DE JANEIRO - RJ 20081050;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 10 ANDAR, COMUNICACAO DE DADOS 8 ANDAR, Datacom, ELR-II/ ARCOS-2550/ AXE10 AND, EST/SRT/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, SALA DO SITE RJO005, TRANSMISSAO - 3 ANDAR, TRANSMISSAO 10 ANDAR(1000,3), TRANSMISSÃƒO - 10Â°AND, TX
TIJ;RJ;RIO DE JANEIRO;TIJUCA I;Netwin;Instalado;2014-04-05 20:53:07 UTC;2019-10-21 13:38:44 UTC;-229.270.417;-432.447.965;RUA URUGUAI, 204, ANDARAI, RIO DE JANEIRO - RJ 20510061;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS  S01, COMUNICACAO DE DADOS  S02, Datacom, EST/TIJ/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, PC, RMS, TIJ01_COMUTACAO-TROPICO RA
VIB;RJ;RIO DE JANEIRO;VILA ISABEL;Netwin;Instalado;2014-04-05 20:53:01 UTC;2019-07-08 19:34:30 UTC;-229.191.814;-432.521.418;RUA TEODORO DA SILVA, 709, VILA ISABEL, RIO DE JANEIRO - RJ 20560060;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 2 ANDAR, Datacom, EST/VIB/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge, TRANSMISSAO - 2 ANDAR, TRANSMISSÃƒO - 1Â° AND
VSCD;RJ;RIO DE JANEIRO;VSCD_ACQUISITION_SCD;Netwin;Instalado;2025-10-29 18:07:12 UTC;2025-10-29 18:37:04 UTC;-229.946.321;-432.578.937;ESTRADA DA GAVEA, 696, SAO CONRADO, RIO DE JANEIRO - RJ 22610002 ;Não;;
ZIC;RJ;RIO DE JANEIRO;ZONA INDUSTRIAL DE CAMPO GRANDE;Netwin;Instalado;2014-04-05 20:53:07 UTC;2022-06-01 16:19:11 UTC;-228.708.496;-435.540.737;ESTRADA DO MENDANHA, 1069, CAMPO GRANDE, RIO DE JANEIRO - RJ 23087286;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;COMUNICACAO DE DADOS 1 ANDAR, DG/TRANSMISSAO - 1 ANDAR, Datacom, ELR-II / CGD-    / AXE/1ANDAR, EST/ZIC/NI/NI, MODEM OPTICO FICTICIO, Metro, Newbridge
JNC;RS;RIO GRANDE;JUNCAO - RIO GRANDE;Netwin;Instalado;2022-09-27 13:58:08 UTC;2022-11-09 20:09:38 UTC;-320.594.252;-521.454.522;AVENIDA ITALIA, 1000, VL MARIA JOSE, RIO GRANDE - RS 96203000 ;Não;Sala, Sala, Sala;ANDAR/JNC/01/TX, ANDAR/JNC/TT/TX
QUIN;RS;RIO GRANDE;QUIN;Netwin;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-320.719.444;-522.597.222;;Não;Sala;ANDAR/QUIN/01/TX
RGDE;RS;RIO GRANDE;Rio Grande Cassino;Netwin;Instalado;2023-01-13 10:50:11 UTC;2023-01-16 12:35:53 UTC;-32.184.646;-52.157.692;;Não;Sala, Sala, Sala;CD, IE, TX
RRG;RS;RIO GRANDE;RRG;Netwin;Instalado;2023-01-13 11:06:45 UTC;2023-01-13 11:10:07 UTC;-32.032.979;-5.209.769;;Não;Sala, Sala, Sala;
RIP;RS;RIO PARDO;RIP;Netwin;Instalado;2022-11-04 00:00:00 UTC;2022-11-04 00:00:00 UTC;-299.897.222;-523.780.556;;Não;Sala;ANDAR/RIP/01/TX
RIP;RS;RIO PARDO;RIO PARDO;Netwin;Instalado;2023-06-01 18:37:09 UTC;2023-07-17 19:32:42 UTC;-299.846.983;-523.782.523;RUA DR JOAO PESSOA, 811, CENTRO, RIO PARDO - RS 96640000 ;Não;Sala;
RVD;GO;RIO VERDE;RIO VERDE;Netwin;Instalado;2018-12-17 14:38:41 UTC;2019-09-23 15:04:28 UTC;-177.959.017;-509.299.553;RUA JOAQUIM SILVEIRA LEAO, 324, S CENTRAL, RIO VERDE - GO 75905590;Não;Sala, Sala, Sala, Sala, Sala;01, ANDAR/RVD/TT/01, ANDAR/RVD/TT/1, EST/RVD/NI/NI
RRS;RS;ROSARIO DO SUL;ROSARIO DO SUL;Netwin;Instalado;2016-08-21 15:07:06 UTC;2021-08-31 17:34:04 UTC;-302.580.622;-549.197.898;RUA AMARO SOUTO, 2398, CENTRO, ROSARIO DO SUL - RS 97590000 ;Não;Sala, Sala, Sala, Sala;ANDAR/RRS/01/TX, ANDAR/RRS/TT/TX, EQPT, EST/RRS/NI/NI
BDEA;BA;SALVADOR;BOLANDEIRA;Netwin;Instalado;2014-04-03 14:07:55 UTC;2023-12-19 11:23:47 UTC;-129.707.793;-384.385.439;RUA DOS COLIBRIS, 235, IMBUI, SALVADOR - BA 41720060 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;2Â°ANDAR- TX, 7IP BDEA_COMUTACAO_TROPICO, BACKBONE II-2Âº ANDAR, DADOS - 2Âº ANDAR, DADOS/TX 2 ANDAR, Datacom, EST/BDEA/NI/NI, HUAWEI - NGN / 2 ANDAR, LUCENT - IVR / 1 ANDAR, Metro, Newbridge, OI, RMS, TRANSMISSAO - 2 ANDAR (NOVA), TRANSMISSAO - 2 ANDAR (VELHA), TRANSMISSAO - TERREO, TRANSMISSÃƒO, TRANSMISSÃƒO, TRANSMISSÃƒO - 6Âº AND, TX / 1ÂºANDAR, TX / 2Âº ANDAR
BRRR;BA;SALVADOR;BARROS REIS;Netwin;Instalado;2014-04-03 14:07:55 UTC;2023-12-20 11:08:16 UTC;-129.712.653;-384.897.003;RUA BERNARDO SPECTOR, 80, VL LAURA, SALVADOR - BA 40270220 ;Sim;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;7IP BRRR_COMUTACAO_TROPICO, BRRR5_COMUTACAO-AXE, DADOS, Datacom, EST/BRRR/NI/NI, HUAWEI - NGN, Metro, Newbridge, RMS, TRANSMISSAO, TRANSMISSAO - TERREO, TRANSMISSAO/ 1ANDAR, TRANSMISSÃƒO-6Âº ANDAR, TRANSMISSÃƒO/1Â°ANDAR
CPIS;BA;SALVADOR;CAMPINAS;Netwin;Instalado;2019-04-18 17:49:35 UTC;2019-04-18 17:53:17 UTC;-129.161.918;-384.636.986;RUA JARDIM CAMPINAS, 2, CAMPINAS DE PIRAJA, SALVADOR - BA 41275132;Não;Sala, Sala, Sala;EST/CPIS/NI/NI
CTOS;BA;SALVADOR;COUTOS;Netwin;Instalado;2014-04-03 14:07:55 UTC;2019-04-10 14:35:08 UTC;-128.460.731;-384.696.552;AVENIDA AFRANIO PEIXOTO, 159, LOBATO, SALVADOR - BA 40470630;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;CTOS2_COMUTACAO-TROPICO RA, Datacom, EST/CTOS/NI/NI, Metro, Newbridge, TRANSMISSAO - TERREO
IGAW;BA;SALVADOR;ITAIGARA;Netwin;Instalado;2016-07-08 00:00:00 UTC;2017-01-24 12:17:00 UTC;-129.972.718;-384.661.183;AVENIDA ANTONIO CARLOS MAGALHAES, 885, ITAIGARA, SALVADOR - BA 41825902;Não;Sala, Sala, Sala, Sala;EST/IGAW/10/49, EST/IGAW/10/NI, EST/IGAW/NI/NI, SALA GPON
ITUA;BA;SALVADOR;ITAPUA;Netwin;Instalado;2014-04-03 14:07:55 UTC;2022-07-01 12:53:27 UTC;-129.391.214;-383.622.022;AVENIDA DORIVAL CAYMMI, 395, ITAPUA, SALVADOR - BA 41635152;Não;Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/ITUA/NI/NI, ITUA2_COMUTACAO-TROPICO RA, Metro, Newbridge, TRANSMISSAO - TERREO
POLA;BA;SALVADOR;POLITECNICA;Netwin;Instalado;2014-04-03 14:07:55 UTC;2021-06-22 12:51:30 UTC;-130.056.127;-385.171.798;RUA DESEMBARGADOR EZEQUIEL PONDE, 7, JD APIPEMA, SALVADOR - BA 40155050;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/POLA/NI/NI, Metro, Newbridge, POLA4_COMUTACAO-AXE, REDE NEWBRIDGE - 1 ANDAR, TRANSMISSAO - TERREO, TRANSMISSAO-1 ANDAR
ROMA;BA;SALVADOR;ROMA;Netwin;Instalado;2014-04-03 14:07:55 UTC;2019-04-16 12:08:44 UTC;-129.366.611;-385.069.533;PRACA IRMA DULCE, 22, ROMA, SALVADOR - BA 40444100;Não;Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala, Sala;Datacom, EST/ROMA/NI/NI, Metro, Newbridge, PCM - TERREO (AT), TRANSMISSAO - SIGMA - 1ANDAR, TRANSMISSAO-TERREO (AT), TX
SOR;BA;SALVADOR;Salvador;Netwin;Instalado;2023-03-01 18:51:34 UTC;2023-05-23 11:50:09 UTC;-129.179.315;-384.144.562;;Não;;
STEL;BA;SALVADOR;Stella Maris;Netwin;Instalado;2019-09-23 19:37:35 UTC;2023-05-22 20:26:24 UTC;-129.388.092;-383.412.133;ALAMEDA PRAIA DE GUARAPARI, 349, STELLA MARIS, SALVADOR - BA 41600110 ;Não;Sala, Sala;EST/STEL/NI/NI, STEL/SALA VTAL
SVD;BA;SALVADOR;SVD;Netwin;Instalado;2022-05-11 18:22:14 UTC;2023-05-24 14:36:58 UTC;-128.966.267;-384.075.632;RUA COQUEIRO GRANDE, 2007, JAGUARIPE I, SALVADOR - BA 41342846;Não;Sala;TX
VIGA;BA;SALVADOR;ACQUISITION_IGAW;Netwin;Instalado;2026-06-26 13:03:53 UTC;2026-07-20 13:39:44 UTC;-129.979.809;-384.619.939;RUA ALMEIDA GARRET, 54, ITAIGARA, SALVADOR - BA 41815320 ;Não;Sala;TX
